Texto,Sentimento
ainda acham isso legal...,medo
mano grito muito alto,medo
jesus; se for voltar; volta antes de outubro; amém.  ,medo
quase que meu pai descobriu que fui no sekko k k k k k,medo
fiquei mexendo no celular na chuva e agora n tá saindo som,medo
nego anda tão desacreditado na classe política; que é capaz de eleger um cara desse... ,medo
[28/3 22:01] roberta: é mt coisa pra estudar; sem tempo e n é facil[28/3 22:03] thais: e a gente só ta no primeiro período[28/3 22:04] roberta: e já to no desespero[28/3 22:04] roberta: pior se eu terminar a faculdade e continuar pobre,medo
puta  q pariu minha mao ta ardendo e coçando mt por causa dessas mexericas q descasquei isso nunca aconteceu,medo
indo encarar a prova mais difícil do semestre...,medo
hoje tem sorteio do amigo secreto da sala,medo
cada um salvando seu próprio umbigo e o brasil é a maioria dos brasileiros que se danem.,medo
eles tão indo pra cima igual a da,medo
só de olhar pro dr. zooter já dá pra sacar qual é a dele.,medo
trovões. será  qie vai acabar a luz novamente?,medo
às vezes ficamos tão submersos a uma visão negativa de nós mesmos que  deixamos o mundo decidir  quem somos.,medo
é esse aí  — ah; essa eu vi ,medo
a boca dela pega só um lado da boca dele,medo
cara; faz uns 3 dias que ouço barulhos no meu quintal igual minha cachorra fazia... detalhe; ela morreu ano passado ,medo
puta merda achei q meu pai tava dormindo mandei mensagem pedindo dinheiro bem na hora que enviou ele entrou no meu quarto,medo
a panela de pressão elétrica ta fazendo barulho antes de pegar pressão. isso é normal; produção?!  ,medo
estou eu bem plena olhando meu netflix e aparece o nome do seu ficante daniela  meodeos,medo
em menos de 20 minutos eu vi harden roubar duas bolas; dar um toco; cp3 errar um lance livre e o vasco ganhar fora de casa na libertadores.,medo
to rindo muito com o vídeo de mim dopada kkkkkkkkkkkk; falei cada coisa nada a ver ,medo
estava falando com a atendente da vivo; aí citei a palavra netflix na conversa e apareceu isso no meu whatsapp depois que desliguei.detalhe: estava falando no telefone fixo. ,medo
a professora de literatura vai devolver o papelzinho que escremos no início do ano e eu não lembro oq coloquei,medo
o best disse q tenho q procurar bem meu presente esse ano jkkk....  ....(ano passado tava na moita do estacionamento da furb) agr me diz quantas moitas tem nakela po**a de estacionamento?,medo
não gosto de pega avião na chuva,medo
bolsolixo e haddad no segundo turno; q seria de nós? ,medo
o tempo tá passando muito rápido; daqui a pouco acaba o ano. ,medo
eu tava com 6 estrelas coladas no rosto no começo do jogo no final do jogo eu percebi q tava só com 5 ;-;,medo
[27/3 11:43] +55 51 9510-72**:vai ser em dupla mesmo [27/3 11:46] prof geisel: estou pensando ainda,medo
ok agora é oficial: devido à idade e tudo mais vou começar a fazer exames e procurar congelar meus óvulos!! morro de  de não conseguir,medo
você sabe quem é o “homem da meia-noite”? é um espírito que fica ao redor das casas; pronto para entrar.,medo
só eu que achei que esse rosto na nota de real ficou meio demoníaco?,medo
estranhos mascotes!...,medo
esse médico do  é nervoso; heim? ,medo
o acordo q a minha família fez foi sensacional mas eu to com  kkkkkkkkk  me ajuda,medo
genteeee... ces ja viram a cara do canarinho mascote da cbf? é uma mistura de cbf+pato+gente de bem+tradicional família brasileira.,medo
a minha pele é a melhor do mundo nessa caso,raiva
só porque queria ir a praia não fez sol,raiva
vamos ter q suporta a voz dessa menina 4 dias aff lixo,raiva
meu deus o sono já me possuiu,raiva
o pior é quando vc sai d casa e as lentes dos óculos se sujam e vc n tem nada no momento pra limpar; afff!!  ,raiva
choveu? virou um caos1h no ponto. 30 min de metrô em 4 estações q normalmente gasto 12 minsp tem q melhorar já,raiva
tah difícil de escolher minhas próximas opções com essa internet lerda!,raiva
a semana ja começa bem imagina ate sexta....,raiva
tô super de cara que tive que ir na pizzaria  . não estava querendo sair da dieta  em uma semana perdi 4kg imagina um mês,raiva
quando penso que  esse dinheiro  ser escolas;hospitais;segurança;que precisamos tanto;principalmente as classes menos favorecidas;me dá uma  desses  tem a mínima consideração aos pobres e suas necessidades.bolsa família?é ,raiva
pqp que vontade de sumir do mundo!!!,raiva
queria ver antm mas só chego em casa de viagem no domingo,raiva
e quando sua opinião num serve pra nada;   ,raiva
vou sair de casa namoral,raiva
como assim eliminam o renan zorta e deixam aquela xexelenta affe; só por deus com esse povo.   ,raiva
feijão ficou top! o jantar todo ficou. aí a esfomeada vai comer rápido; esquece de mastigar direito; o bebê manda a comida voltar.. ehhhh.. tcharam.. vomitei tudo!   ,raiva
meus pais são tão avós que estao na disney morando na vila kennedy. nao querem corrigir o neto e ainda n ligam pros tiros...,raiva
vc tem o dia todo para passar mal; mais seu organismo decide que na hora do sono mais gostoso vc vai acordar passando!!!  ,raiva
gente sem noção existe; mas gente sem noção e folgada é foda ! ,raiva
bom dia!,raiva
tentando explicar isso no face; mas tem gente que só usa isso como desculpa; talvez pra não dizer que ama o condenado. usei todos os argumentos do mundo e a mulher chamando ele de machista; ainda que fosse verdade; algo muito pouco pra justificar seu voto  ,raiva
uma ventania do cacete; a bagaçada do ônibus sai 1 min mais cedo e eu perco; vou chegar atrasada! nossa. que maravilha   ,raiva
do caruso querendo distruir o meu coração.ele tá querendo colocar os amigos para enfrentar o paredão só ódio desse caruso,raiva
heloísa está crescendo mt rápido,raiva
fiquei desiludido com o frango no jogo de ontem. marcaram todos menos aquela barbie que tava à mama,raiva
isso ai;aprendi com isso         ,raiva
me ajudem pq n consigo dormir cedo,raiva
mais um dia indo dormir cinco da matina,raiva
precisando de um tal novo!! cansada do meu me dizer: espaço insuficiente,raiva
bom dia e boa sexta feira santa.  ,raiva
irresponsável.,raiva
eu não acredito que vai ter show da  aqui de novo e de novo eu não posso irrrrrr até quando meu deus??? até quando isso?!!! vou ter que esperar uma nova geração de artistas vir aqui e eu poder ir no show??!! completamente inconformada!,raiva
to indignado com minha pessoa! tive o dia inteiro hj pra fazer os trabalhos e só fiz um,raiva
bom dia queria dormir até tarde mais ñ consigo que,raiva
vc vai viajar; chega ao seu destino e a empresa extraviaram sua mala; vc entra em ctt com a empresa e a mesma mal te informar o q realmente aconteceu; vc fica a deus dará em uma cidade sem roupas e objetos pessoais; tendo um gasto a + q n estava planejado no seu orçamento ,raiva
obrigada  por 24hs sem energia eletrica e sem atendimento no 0800. muito gentil da parte de vcs,raiva
cada vez que assisto  sinto mais  da  da,raiva
inclusive meu maçarico da holanda foi levado.,raiva
bom dia brasil... que absurdos esses marginais roubando no centro de sp,raiva
baixando black desert!,raiva
porque tornozeleira não duram? afff... já perdi uma esses dias aí comprei uma nova e agora perdi uma das pedrinhas.... ainnn que  meu!!!,raiva
a mãe do seu chrush vem almoçar; mas ele nao. ,raiva
bom dia a todos!!!é de partir o coração ver pessoas tentando lutar por justiça; eles tbm têm famílias.... o presidente temer é um demônio!!! ,raiva
quando a ana paula começa gritar que o tempo está  acabando!!,raiva
odeio quando vou na manicure/pedicure e deixam uma lasquinhas; é mandar eu estragar cutucando ,raiva
chegando a conclusão que sou mais ciumenta que eu imaginava...será que sou a única nesse barco?!!,raiva
sem legendas!,raiva
eu crio  os trelêlê na minha cabeça e de tanto pensar fico pensando que é  verdade .,raiva
só passo  nessa casa,raiva
estou estagnado nós 729 pontos e não sei o motivo? não importa o que faço sempre os mesmos 729.  vamos,raiva
nao fui; e nem fiz nd. levar fama de uma coisa que tu nao fez é foda.,raiva
vc planeja o feriado todinho; aí quando vc chega em casa vc entra em coma no sofá!  ,raiva
não assinem nada que essa  oferecer      ,raiva
meu cabelo tá crescendo de novo,raiva
aí você resolve ... ah vou comer algo diferente trabalhamos tanto no fds  resolve experimentar o  seu pedido vem errado e até agora não consegui comer  isso porque meu pedido chegou errado as 21h até agora não voltou,raiva
de repente vc tem apenas a vontade de melhorar... mas algo diz que ainda não é a hora.,raiva
boa noite a todos mudos e mudas      ,raiva
aí vc pnsa; amanhã é domingo; vou dormir até o olho cair. aí o q acontece? vc acorda 6:00 da manhã e n consegui mais grudar o olho. ,raiva
confesso q passei a noite rolando na cama sentindo uma maldita cólica e confesso q ela ainda não passou..,raiva
qual o problema desse pessoal... se marca o horário vai no horário marcado,raiva
odeio sexta feiras.. transito.. onibus atrasado.. 1:30hrs no ponto esperando o bendito passar.. chegar muito atrasada no trampo..,raiva
por eu morar tipo bem longe do centro ontem a noite não sai com as meninas.,raiva
e não é que o francisco vai bem,raiva
não consigo entender pq fui começar assistir  ! só passo  e perco,raiva
haaaaa vai toma no c.....  viu,raiva
eu acho maravilhoso que as escolas levem as quiança nos museus...  mas tem que ser justo quando eu posso ir?,raiva
é lógico que a corda arrebentou para o lado mais fraco!!! mais uma do nosso querido governador!   ,raiva
e a cada o brasil mais atolado em sujeira. .!!  deveriamos ter novas eleicoes. . mas os politicos continuarao os mesmos  !!!,raiva
como tem gente abusada!!! vem em um restaurante que serve buffet à vontade e quer desconto porque tá em dieta...,raiva
.barra; porque não se emancipa logo?    via ,raiva
nossa tem um guri da minha sala mttt galinha mds da em cima de meio mundo e ele namora e a namorada dele é da sala também braseeeeel,raiva
da  sempre,raiva
como entender homens casados que comentam em particular como ficamos lindas nas fotos?,raiva
lenda de moz já  na  na  na  criticas abusos elogios notasmiuda nossa,raiva
amanhã é aniversário de uma semana; sem internet. tudo patrocinado pela      ,raiva
sempre eu...,raiva
△pelo amor  de deus; meu irmão é uma merda cantando!,raiva
nós sabíamos que seria jogo roubado pelo árbitro da  a mando do presidente deles e conselheiro do  é muito brasil!!!,raiva
quanto mais expectativas; mais decepções ,raiva
depois de trinta minutos o cara conseguiu tirar todas as senhas possíveis. ..,raiva
fui ali no banco peguei uma fila infernal pra pagar a conta ai quando chega minha vez eu não levei o diabo da conta; agora vou ter que ir la mais uma vez   ,raiva
bem vindos à fórmula 1; temporada 2017; autódromo campo de perizes.agora eu ví!  ,raiva
é sempre uma festa,raiva
ô jesuuuis ! :/ .,raiva
nããããoooooo consigooooo dormirrrrr porr causaaaa doooo calorrrrr!!!! .,raiva
com certeza não terão o meu voto é de muitos!   lembrando que…,raiva
e o pior que não tenho fotos da festa! !!!,raiva
caramba to sem nenhuma paciencia para ver tv; tô chata. com dor de cabeça e tenho q dormir pq tenho q acordar cedo ,raiva
pé megaaaaaaaaaaa inchadoooo!!!,raiva
uma carta para o meu pai    ,raiva
pessoas idiotas que jogam lixo no chão; apenas paaaarem!,raiva
estou sem   a mais de 36h. nunca vi tanta demora.,raiva
agora só falta comprar os pincéis de maquiagem; porque os meus; sumiuuuu! ,raiva
queria que o sono batesse na minha porta do quarto.,raiva
vejo a propaganda que a 3temp do the good place está disponível; fui seca pra assistir; um episódio???  o  não tá ligado que eu assisto é por temporada rsrs. mano que  achei estavam todos os episódios.  ,raiva
que droga não consegui ir pra  esse ano,raiva
daí o vasco passa mais da metade do br/2017 na zona do agrião; e numa arrancada chega na libertadores; e com um time ruim!!! o  com um elenco caríssimo; custa a chegar na sul-americana...    ,raiva
ain tomar que morra menos um....,raiva
a  não te dá o controle da situação; ela tira a situação do seu controle.,raiva
qual é a graça de seguir e depois deixar de seguir?parem com essa mentalidade mesquinha.,raiva
eu ja sei oque aconteceu....deve ter sido quando o barry allen(flash) voltou no tempo...estragou tudo e ainda estragou a minha linha do tempo... por isso que eu não fiquei com a pessoa que eu mais amava  haha haha,raiva
sra. companhia aérea   acha que chego em casa hoje?,raiva
nossa custa r$250 pra tirar um passaporte!!! pq tão caro meodeos?? já ganha uma passagem??,raiva
troca tudo!,raiva
gente eu to na 2 tempordada me respita eh nao qro saber o q acontece no ultjmo episodio da 4!!!!!!!!,raiva
puta que pariu hem  não queremos músicas; queremos segurança e serviço de qualidade! o que precisamos fazer para tirar esse desserviço! muita palhaçada com nossa sociedade !,raiva
nada como passar meia hora na fila do ônibus e surgirem arrombados das profundezas do inferno furando a fila...,raiva
só fiquei sabendo pq a minha irmã falou com a minha mãe e a minha mãe me contou...,raiva
parabéns ao políticos do rio de janeiro; por destruírem este símbolo do brasil.    ,raiva
tenho q lavar o tapete da sala mas to com preguiça; mas ja molhei agora sou obrigada a terminar kkkk ,raiva
estou cansado de me decepcionar! ,raiva
respira... 1 2 3...,raiva
a saúde esta casa ves pior no rio mediante essa situação  me sinto lesado!,raiva
poxa achei que eu ir vim trabalhar hoje faze tudo que tinha que faze cheguei aqui encontro um cachorro estou aqui cheia de medo dele,raiva
então a culpa é do mês que eu nasci!!,raiva
e espero que chicago ganhe hj; depois de perder 3 jogos seguidos em casa! ,raiva
aquele que muito confia; muito se decepciona...  ;(,raiva
me sentindo um pouco madrugadinha nesse momento!!!,raiva
não entendo; posso dormir a qualquer hora do dia; mas quando chega a hora de dormir mesmo não consigooo.   ,raiva
faculdade aumentou!,raiva
poxa agora q li essa msg   a tvn já ultrapassou o limite da má qualidade nos serviços. mais um fim de semana sem sinal,raiva
chegar na loja e estar sem internet ainda é pra acabar com o pequi de goiás. ..  desde ontem.. ,raiva
a maior mentira é esse time do flamengo um verdadeiro time de ilusões para os torcedores! ,raiva
gente ignorante precisa de ibope.,raiva
quero uma lasanha,raiva
a operadora vivo faz a black friday ao contrário para os clientes presenteando-nos com um aumento nos valores dos planos controle sem nada acrescentar em contrapartida!,raiva
estou com nojo de todos os políticos;dos bandidos culpados e supostos inocente que nada fazem para impedir está orcrim.  ,raiva
quando sais com a dama do club e a caminho do hotel ela pede pra lhe deixares em casa dela.... miuxxx,raiva
quando vc sabe a letra da música mas não acha em lugar nenhum e nem lembra quem canta.,raiva
odeio gente de duas caras,raiva
eu não acreditooooooooooooo,raiva
ninguém merece me arrumo toda pensando q vou aair pra lanchar mais nao vou ir buscar minha mae... :-(,raiva
o sono acaba com meu humor.,raiva
as vezes mudanças são necessárias!    hehehe,raiva
bom dia! fui dormir as 3h da manhã e levantei da cama as 8h; onde foi parar meu sono? mas com certeza; no meio da tarde ele aparece! ,raiva
so falta um urso mas o jogo nao me ajuda ao inves de mandar o peixe pro urso ele vai pra outro gelinho aaaaa nao fode,raiva
coisa linda essa cidade... chove e alaga tudo e o trânsito flui que é uma beleza,raiva
 depois das capivaras; agora; morcegos contaminados com  ameaçam belo horizonte ,raiva
não creio que perdi minha outra conta do twitter,raiva
 o concurso pede uma lista de livros; todos pouco acessíveis; e ainda pede que a gnt responda relacionando tema; autores e obras; sendo que nem na puc achei os livros ,raiva
eii! vc qe ten  de min. vc vai me ver  e vc  siscandoo: ,raiva
ai vc quer deitar p dormir mais; porém a cachorra faz questão de subir ca cama antes p vomitar nela ;-;   ,raiva
os desocupados já chegaram na praça do bandeirantes; trânsito tudo travado na região; tomara que o temporal chegue logo aí e todos fiquem gripados por pelo menos uns 20 dias!  ,raiva
como pode uma pessoa ficar satisfeita somente quando stressa a outra? esganar,raiva
facebook me bloqueio mereço,raiva
e agora quem vai ganhar é a fulô de mandacaru; sendo que ele só cantaram música dos outros...  ,raiva
diário de vida de casado: - você quer tal coisa?- tanto faz...- to te perguntando pra saber sua opinião.- pode escolher,raiva
parecem que gostam de ter a vida dificultada.,raiva
obrigada  por me enviar os livros ... obrigada  pelo pouco caso e jogar no quintal e meu cachorro destruir tudo ... meus alunos agradecem o cuidado é respeito,raiva
mais acham de vir fazer visita minha mãe  só no horario do meu almoço..,raiva
...... se quiser tbm me encontre,raiva
como no carnaval infelizmente vou ter que ir trabalhar;me resta ir no sesc; porque meu plano de ir para mongaguá já era.  básica,raiva
me explica;por que quando eu posso dormir até tarde ;eu acordo cedo ,raiva
quando você queeeer ; nada colabora ! ,raiva
voltei p cruzeiro e não peguei o número do coro dá praia q vi os três dias seguido e ficou me encarando,raiva
quando as pessoas prometem e não cumprem,raiva
pleno 2016 e tenho qe ver macho comentando isso ...,raiva
gostaria de agradecer publicamente ao  que não quis abrir uma conta pra mim aqui em santarém porque o movimento está grande demais e só vai fazer isso depois do dia 15,raiva
quero que se lasque o  vai falar mal dos outros e não tem bons argumentos tem e mesmo que ser banido do youtube.,raiva
a  não te dá o controle da situação; ela tira a situação do seu controle.,raiva
paciência é uma virtude !,raiva
ai o fantástico deixa a entrevista com camila pra o final...e eu aqui; já me acabando de sono!,raiva
mais uma sexta-feira à noite em casa.,raiva
começou a comer batom era só oque me faltava (parte 1,raiva
me pergunto pra que assistir logo basquetebol do brasil contra os usa; já que fato concreto que eles vão ganhar.vou passar  ,raiva
gente pelo amor... essa patrícia é um nojo.. ooo mulherzinha..ranço dela desde o início; nosso santo não bateu..  ela ir p paredão!,raiva
essa professora sempre passa do horario,raiva
felicidade é chegar em casa e ter que pular a janela pq nao tem ngm em casa .........,raiva
a pessoa economizar o mês todo pra compra o ingresso do show da   até ai  tudo bem...porém no dia que compra chega em casa o tv está queimada...fazer o q né!!!!. .já comprei e irei linda e plena para show.... a tv só deus..kkk em teresina,raiva
mas que bosta de time! sem brio! vtnc! como quer ganhar algum campeonato se não ganha nenhum jogo em casa??,raiva
estou recebendo conteúdo de professor e a faculdade nem liberou minha matrícula ainda!,raiva
eiis que vc trabalha o mês todo recebe e perde teu pagamento....,raiva
isso ta acabando cmg :,raiva
quando você chega curso  mas  não  tem aula   almoçar  no plaza e fazer compras rs,raiva
só volto segunda! até!,raiva
todas as várias vezes q tentei deixar meu cabelo crescer ele ia ficando tipo o do ronaldo caiado; saca na nuca? igual beira de rancho ,raiva
eu não tenho  de ninguém; tomara que seja  bem longe de mim...vai sorrir em outro lugar; mundiça.,raiva
definitivamente esses cretinos querem ouvir imitações de cantoras americanas e crianças estereotipadas de adultos.,raiva
a oi diz que tem o app técnico virtual com 100% inútil... já não basta o serviço  vem o app para melhorar o conceito de  ,raiva
não estava acompanhando direito e agora mesmo que não assisto mais!!!,raiva
acho que vou mudar meu plano de 15mb da  para 1mb; pq aqui em casa a internet não passa disso u.u  ,raiva
com muita  da    é o c* eu quero ver o,raiva
ba meu  o caldeira deu um atrake nos pia da vila aqui na frente de casa e quebro os pia a pau se eles fazer nada né meu que abuso de poder e depois me pedem pq eu odeio esses verme que só pq tem farda acha que pode sai batendo em qualquer um sem motivo,raiva
eu não entendo como é que; mesmo havendo 2 portas e um corredor a separar o meu quarto do do meu irmão; eu ainda o ouço a ressonar ,raiva
meu insta foi rackeado!!,raiva
o transporte público desta cidade é uma merdaaa !!! uma merdaaa !!!ônibus velhos; motoristas estúpidos e desqualificados; péssimos horários... enfim lixo; lixooo !!!    ,raiva
cheguei em casa um pouco cansado do trabalho; deitei na cama minha barriga começou a roncar   disso,raiva
tm dia q a noite é fd,raiva
nem vou mais sair,raiva
acho engraçado a gente abriga o indivíduo na casa da gente;ai o cara vem desfazer da cara da gente !!!!!!!!!!!só no brasil mesmo ,raiva
com toda a sinceridade do mundo; a minha vontade é de espancar cada bandido filho da puta que ta na rua.  ,raiva
— feeling com dor de cabeça,raiva
nada de bom para min ver luiza  vendo chiquititas ó novelinha chata dá vantade de desligar a tv a colocar na música da,raiva
adoro quando a 1001 coloca ônibus velho na véspera do feriado!,raiva
tem promoção moça? não!,raiva
quero minhas férias,raiva
 depois das capivaras; agora; morcegos contaminados com  ameaçam belo horizonte ,raiva
que isso   !!!estávamos  ganhando de 2....  chega ao empate,raiva
produtores da rainha das flores: se era para nunca passarem a não me digas na novela; não a tivessem incluído na banda sonora. ,raiva
tenho 2633 pontos no  a  está d sacanagem comigo estava cm + de 3 mil; estão tirando meus pontos  ,raiva
que m**da !!! por que toda vez que eu me preparo para ir dormir; acabo ficando com vontade de ir ao banheiro ???,raiva
odeio quando a pessoa visualiza sua mensagem e nao respondi...,raiva
comecei a esperar meu namorado 19h; ele ainda nao chegou; ficou assistindo jogo do carai de asa. agora prefira q nem tivesse vindo ,raiva
ai eu penso q é algo sério e na verdade é só ele querendo tentar me iludir mais uma vez; porém já aprendi isso e n caio mais; mas ele n percebe ,raiva
começou a comer batom era só oque me faltava     (parte 1,raiva
brasileiro; o povo do mio ,raiva
digamos que literalmente hj foi o dia q ..... mdsss,raiva
como assim namo pensei q fôssemos noivas,raiva
a novela terminou cedo hoje,raiva
amo a musica playtime do khalil ft. do justin bieber pena que não encontro no spotify !!,raiva
ta foda,raiva
momento  sempre passa.,raiva
beijo p vc     kkkkkkkkkkkk,raiva
sinto que a gripe está chegando,raiva
quando tava no meio de danish girl o arquivo pipocou; vou ter que baixar outro. ,raiva
dica amorosa do dia.,raiva
trabalho em grupo do filho: professora fala uma coisa; mas as mães do grupo dizem que ela está errada... claro; são todas entendedoras de educação! a professora é só uma qualquer. ,raiva
quando gravar convite para show se torna um dos maiores desafios...    praia…,raiva
não é possível que em quase 20 minutos de tentavas incessantes de ligações; um ramal de faculdade continue ocupado. ,raiva
zamigos; já podem ficar felizes e ir comemorar a pec 241 foi aprovada; vai vendo...  né!! ,raiva
coisa que eu mais odeio é ver quantas pessoas idosas são abandonadas por seus filhos em asilos.isso me revolta depois do camarada criado e gordo resolve que os pais já não servem mais e os abandonam,raiva
nessa onze horas de sábado os jovens sai na esbórnia e não há que fazer eu acho ruim porque daí os valores corrompese mas tambem que tem um axe aqui na janela que não dexa dormir era bom pertar belas mulheres quando era bonito    vao ler sobre caminhao,raiva
troca tudo!,raiva
dizem que a paciência é uma virtude; exceto quando você lida com gente lerda.   ,raiva
é lógico que a corda arrebentou para o lado mais fraco!!! mais uma do nosso querido governador!   ,raiva
desconheço ser q perturbe mais a vida de uma pessoa q o tal do marceneiro! especifico o projeto de um jeito e ele simplesmente muda pra gastar menos mdf e nem me comunica. detalhe: paguei caro por isso.  muita desonestidade!,raiva
minha mãe reclama a manhã toda; ai ela me deixa nervosa e eu começo a reclamar; depois ela diz que eu que reclamo de tudo  ,raiva
vamos esquecer ontem,raiva
a minha vontade é fazer igual a mãe da jéssica entrar dentro dessa casa e tirar o diego é a patrícia pelos cabelos,raiva
sabe quando voce conhece a pessoa; mas nao lembra da onde ? ,raiva
ai vc ta empolgado; fazendo exercícios a beça essa semana; e esquece se inscrever pro simulado do final d semana...sou mt burro msm!!,raiva
tnc viu na hora de virar o olho tava bom neh mais agora dormi...e ainda fala que a culpa é minha,raiva
a 1a imagem é de hoje e trouxe à memória a 2a; de 2006. cerdedo. foram duas as mortas. nem com sessenta mudará a política florestal. ,raiva
vc e importante para mim??como assim???,raiva
ainda existe preconceito na área da saúde!!,raiva
porque demora tanto pra chegar em casa!,raiva
amooooo quando isso aconteeeeeeceeeeeeeeeee :(,raiva
mano  to de castigo por causa da minha irmã porque eu atendi o telefone e meu pai queria fala com minha irmã eu chamei ela e ela não,raiva
como enfrentar as situações de   e  ? que oportunidades elas nos abrem?,raiva
sabe aquele momento que vc chega em casa e se toca da resposta do exercicio?,raiva
ahhhhhh pq eu não fui?!,raiva
a todos vocês que vão de férias descansados e abandonam os vossos companheiros de quatro patas. esperam que ardam no inferno. ,raiva
o  já está cheio de  . mais,raiva
sentimentos são instintos diluídos!,raiva
eu odeio andar de ônibus!,raiva
qual meu problema de ir dormir 5 e pouca e acordar 10 e pouca ????????????????,raiva
será que eu consigo minha meta para 2017? até hoje não consegui...,raiva
bom diaaaaaaaa sábado!!!   ,raiva
aqi em casa não da pra dormir não ;desde cedo já acordam falando;ligando rádio;vou fazer isso tbm;cade a lei do silêncio  ,raiva
a vida resumida em comprar um presente de casamento e sem quer derrubar e quebrar ele.,raiva
pior merda; e deitar na cama gelada e ela demorar pra esquentar  ... ,raiva
bah valeu  em pleno domingo minha internet foi pro saco. não tem um mês que passe sem cair uma ou duas vezes. e técnico só na terça. aí o desconto vem em centavos.,raiva
febre logo na sexta-feira é pracabá :( ,raiva
minha  é que minha  me confunde com muitas,raiva
dois cursos fodas vão acontecer no mesmo dia do chá de fralda da minha irmã. ow sorte a minha...,raiva
pior coisa é ficar com uma música na cabeça e não saber cantar.,raiva
se a vida te der flores amacia,raiva
aquele momento em que um babaca diz que olhou para a mulher do outro; porque achou que ela estava sozinha.   ,raiva
acordei agora e perdi parte do iluminados.,raiva
você tem asma; nunca fumou na vida; está dentro do seu apto com as janelas fechadas mas é obrigada a sentir p cheiro de cigarro e respirar a fumaça do vizinho!!!! enfia esse cigarro aceso no c* é peida; seu arrombado!!! ,raiva
quero privacidade; quero autonomia; não quero ser contestado ,raiva
tem tias que tá no mundo pra testar nossa fé viu . pqp,raiva
a tim é a pior operadora que existe!  acho que ela pegou o vírus do neymar; pq esses dias o sinal dela só vive caindo. deve ser  pq ela entrou no ritmo de copa; só pode. rsrsr   ,raiva
bem ruim você não ser uma influência digital… as pessoas tudo loucas com as novidades do ios que eu já mostrei a meses kkkkkkkkkkkkkk,raiva
uma falta de respeito com a nossa história e cultura parabéns políticos se importem menos com as escolhas pessoais do seu povo e cuida da cultura deles,raiva
e os comerciantes que quebraram no centro por causa desta lei ; nadica de nada né? palhaçada!! uma lei que serviu para acabar com o comercio dos pequenos pois os grandes continuaram fazendo propaganda e muita!!  ,raiva
nosso domingo acabando,raiva
vou começara anotar oq estraga ou eu perco mais: fone de ouvido; celular ou mouse. ta difícil viu!!!!!,raiva
o renan ficava olhando para munik e depois ia atrás da juliana; eles não se desgrudavam até na hora de ir ao banheiro!  ,raiva
tudo de bom pra você. ,feliz
entre a lagoa e o mar; existe o paraíso! ,feliz
mais uma realização! que deus continue me abençoando!,feliz
dezembro começou muito bem ontem hehe,feliz
meu brotherzinho e sobrinho davi henrique. em maxfer móveis…,feliz
a mudança de um único hábito pode transformar toda uma vida... me sentindo ! ,feliz
quer vida melhor do que essa vida de solteira; é muito bom quando seu coração esta em paz e melhor ainda quando a gent tem os da vida kkkk,feliz
coleção de... coleções que amamos; eu e ,feliz
linguagem bíblica | para tudo há uma certa; há um certo para cada debaixo do 3:1,feliz
sim meus ; o amor me pegou em bhfm ,feliz
você não só tem o direito de ser como também tem a obrigação de lutar para alcançar a felicidade....,feliz
o mais interessante é você se redescobrir a cada dia! isso faz toda a diferença,feliz
final de semana perfeito! perfect weekend...(ainda mais com os meus meninos) amo essa vida! residencial…,feliz
comendo sorvete,feliz
só tenho a agradecer tudo que tenho conquistado com muito emprenho; suor e foco nestes 2 anos e 9 meses neste país que é cheio de desafios. ,feliz
que o meu pra sempre seja com você ⚘,feliz
pronta para a próxima onda! ready for the next wave! ,feliz
uma para nós todos “protege-me como à menina dos teus olhos; esconde-me à sombra das tuas asas;” ,feliz
eu e heitor... cada vez mais esperto... festinha pra mais 1 aninho ........,feliz
nunca troque o que mais quer na vida por aquilo que mais quer no momento. momentos passam; a vida continua. bom dia!!!! ,feliz
se amo essa cidade? se sou um filho curitibano adotivo com muito orgulho? sim! parque bariguifoto: by morar em…,feliz
muito . muita . enfim chegou a das . que tem muito pela frente ainda. com gostinho de ter sido baralhada com gostinho de saber que com,feliz
dia do engenheiro =) comente,feliz
seja humilde para admitir seus erros; inteligente para aprender com eles e maduro para corrigi-los. em quermesse de são… ,feliz
e essa carinha de biscoito trakinas??,feliz
na imensidão encontro a paz.,feliz
o feriado pede essa dose de felicidade; né? ,feliz
muito pois está quinta além de dar um jeito no meu cabelo irei ver a minha amiga lindaaaa faz quase 2 meses que não a vejo marcamos salão ao mesmo tempo e depois vamos jantar,feliz
que bela companhia nesse fim de noite,feliz
tudo o que você precisa já está dentro de você.foto 2-3 em balneário camboriú,feliz
sol; piscina e família!,feliz
fico que as provas terminaram. finalmente posso lavar meu banheiro em .,feliz
dia do estudante,feliz
pense alguém já animado?! sim; eu! fazendo a pq amou o ; da ?! sim ;tbm!uma pessoa por ver sua do se… ,feliz
falar eu te amo faz bem para quem fala e muito mais para quem escuta. ,feliz
é tão bom receber presentes neh,feliz
desejo a você muita e muito que você seja e que receba essa canção com muito carinho.para quem estou escrevendo?para você que está lendo e que vai ouvir essa canção.,feliz
renunciem ao pecado e você vai ser .tenha um dia abençoado e dora mercedes tovarmai-dn. fundador,feliz
a vida começa com um simples amanhecer;cresce com alegrias e tristezas e termina com as reflexões sobre a vida. ,feliz
o anjo sincero voltou para trazer uma mensagem de paz e otimismo para 2019. ano novo.,feliz
